iter	Passed	Remaining
0	59	8796
1	60	4492
2	62	3053
3	63	2329
4	65	1898
5	67	1610
6	68	1400
7	69	1241
8	71	1118
9	73	1022
10	74	941
11	75	873
12	77	816
13	78	767
14	80	725
15	82	687
16	83	653
17	84	623
18	86	596
19	87	571
20	89	548
21	90	528
22	92	509
23	93	492
24	95	475
25	96	460
26	97	445
27	99	433
28	100	421
29	102	410
30	103	399
31	105	388
32	106	378
33	108	369
34	109	360
35	111	352
36	112	344
37	114	336
38	115	329
39	117	322
40	118	315
41	120	308
42	121	302
43	123	296
44	124	290
45	125	284
46	127	278
47	128	273
48	130	268
49	131	262
50	132	258
51	134	253
52	135	248
53	137	244
54	138	239
55	140	235
56	141	231
57	143	227
58	144	223
59	146	219
60	147	215
61	149	211
62	150	207
63	151	204
64	153	200
65	154	196
66	156	193
67	157	190
68	158	186
69	160	183
70	162	180
71	163	177
72	165	174
73	166	171
74	168	168
75	169	165
76	171	162
77	172	159
78	174	156
79	175	153
80	176	150
81	178	147
82	179	145
83	181	142
84	182	139
85	184	137
86	185	134
87	187	132
88	188	129
89	190	126
90	191	124
91	193	121
92	194	119
93	196	116
94	197	114
95	198	111
96	200	109
97	201	106
98	203	104
99	204	102
100	206	99
101	207	97
102	209	95
103	210	93
104	211	90
105	213	88
106	214	86
107	215	83
108	217	81
109	218	79
110	220	77
111	221	75
112	222	73
113	224	70
114	225	68
115	227	66
116	229	64
117	230	62
118	232	60
119	233	58
120	235	56
121	236	54
122	237	52
123	239	50
124	240	48
125	242	46
126	243	44
127	245	42
128	246	40
129	247	38
130	249	36
131	250	34
132	251	32
133	253	30
134	254	28
135	255	26
136	257	24
137	258	22
138	259	20
139	261	18
140	262	16
141	263	14
142	265	12
143	266	11
144	268	9
145	269	7
146	271	5
147	272	3
148	274	1
149	276	0
